Time - Force	Amplitude - Force
472,3m	-0,1
472,9m	-0,1
473,5m	-0,1
474,1m	-0,1
474,7m	-0,1
475,3m	-0,1
475,9m	-0,1
476,5m	-0,1
477,1m	-0,1
477,7m	-0,1
478,3m	-0,1
478,9m	-0,1
479,5m	-0,1
480,1m	-0,1
480,7m	-0,1
481,3m	-0,1
482,0m	-0,1
482,6m	-0,1
483,2m	-0,1
483,8m	-0,1
484,4m	-0,1
485,0m	-0,1
485,6m	-0,1
486,2m	-0,1
486,8m	-0,1
487,4m	-0,1
488,0m	-0,1
488,6m	-0,1
489,2m	-0,1
489,8m	-0,1
490,4m	-0,1
491,0m	-0,1
491,6m	-0,1
492,2m	-0,1
492,9m	-0,1
493,5m	-0,1
494,1m	-0,1
494,7m	-0,1
495,3m	-0,1
495,9m	-0,1
496,5m	-0,1
497,1m	-0,1
497,7m	-0,1
498,3m	-0,1
498,9m	-0,1
499,5m	-0,1
500,1m	-0,1
500,7m	-0,1
501,3m	-0,1
501,9m	-0,1
502,5m	-0,1
503,1m	-0,1
503,8m	-0,1
504,4m	-0,1
505,0m	-0,1
505,6m	-0,1
506,2m	-0,1
506,8m	-0,1
507,4m	-0,1
508,0m	-0,1
508,6m	-0,1
509,2m	-0,1
509,8m	-0,1
510,4m	-0,1
511,0m	-0,1
511,6m	-0,1
512,2m	-0,1
512,8m	-0,1
513,4m	-0,1
514,0m	-0,1
514,6m	-0,1
515,3m	-0,1
515,9m	-0,1
516,5m	-0,1
517,1m	-0,1
517,7m	-0,1
518,3m	-0,1
518,9m	-0,1
519,5m	-0,1
520,1m	-0,1
520,7m	-0,1
521,3m	-0,1
521,9m	-0,1
522,5m	-0,1
523,1m	-0,1
523,7m	-0,1
524,3m	-0,1
524,9m	-0,1
525,5m	-0,1
526,2m	-0,1
526,8m	-0,1
527,4m	-0,1
528,0m	-0,1
528,6m	-0,1
529,2m	-0,1
529,8m	-0,1
530,4m	-0,1
531,0m	-0,1
531,6m	-0,1
532,2m	-0,1
532,8m	-0,1
533,4m	-0,1
534,0m	-0,1
534,6m	-0,1
535,2m	-0,1
535,8m	-0,1
536,4m	-0,1
537,1m	-0,1
537,7m	-0,1
538,3m	-0,1
538,9m	-0,1
539,5m	-0,1
540,1m	-0,1
540,7m	-0,1
541,3m	-0,1
541,9m	-0,1
542,5m	-0,1
543,1m	-0,1
543,7m	-0,1
544,3m	-0,1
544,9m	-0,1
545,5m	-0,1
546,1m	-0,1
546,7m	-0,1
547,3m	-0,1
547,9m	-0,1
548,6m	-0,1
549,2m	-0,1
549,8m	-0,1
550,4m	-0,1
551,0m	-0,1
551,6m	-0,1
552,2m	-0,1
552,8m	-0,1
553,4m	-0,1
554,0m	-0,1
554,6m	-0,1
555,2m	-0,1
555,8m	-0,1
556,4m	-0,1
557,0m	-0,1
557,6m	-0,1
558,2m	-0,1
558,8m	-0,1
559,5m	-0,1
560,1m	-0,1
560,7m	-0,1
561,3m	-0,1
561,9m	-0,1
562,5m	-0,1
563,1m	-0,1
563,7m	-0,1
564,3m	-0,1
564,9m	-0,1
565,5m	-0,1
566,1m	-0,1
566,7m	-0,1
567,3m	-0,1
567,9m	-0,1
568,5m	-0,1
569,1m	-0,1
569,7m	-0,1
570,4m	-0,1
571,0m	-0,1
571,6m	-0,1
572,2m	-0,1
572,8m	-0,1
573,4m	-0,1
574,0m	-0,1
574,6m	-0,1
575,2m	-0,1
575,8m	-0,1
576,4m	-0,1
577,0m	-0,1
577,6m	-0,1
578,2m	-0,1
578,8m	-0,1
